k1	core	verdict	tags	variant_of	variant_dicts	xref_target	compound_parts	v2_src_category	dcs_band	accented	gloss
ADArmika		spelling-variant	spelling-variant	ADarmika	ap|ap90|mw|pw	aDArmika		kosa_nighantu_not_digitised		ADArmika	
ADAtar		spelling-variant	derivative|spelling-variant	AdAtar	pw			scholarly_journal_technical		ADAtar	Verleiher ‖ Lehrer
AKyAtavAda		propername	propername					ms_catalogue_propernoun		AKyAtavAda	
AKyAtaviveka		xref-attested	compound|xref-attested			AKyAtavAda		scholarly_journal_technical		AKyAtaviveka	
ANgAraka		spelling-variant	derivative|spelling-variant	aNgAraka	mw|pw			ms_catalogue_propernoun		ANgAraka	
ASAdaSamI		compositional	compound					ms_catalogue_propernoun		ASAdaSamI	des 40ten Tages in der lichten Hälfte des
ASApurI		propername	compound|propername					ms_catalogue_propernoun		ASApurI	Stadt
ASaMsitar		kosa-corpus-gap						kosa_nighantu_not_digitised		ASaMsitar	Wünscher, Hoffer
ASitar	1	spelling-variant	compound|spelling-variant	aSitar	pw		ASi+tar	kosa_nighantu_not_digitised		ASitar	gefrässig
ASuBArgava	1	propername	compound|propername				ASu+BArgava	scholarly_journal_technical		ASuBArgava	
ATarvaRIya	1	compositional	derivative					scholarly_journal_technical		ATarvaRIya	
AcAracintAmaRi	1	spelling-variant	compound|propername|spelling-variant	AcAracintAmaRI	pw			ms_catalogue_propernoun		AcAracintAmaRi	
AcAramADavIya		compositional	compound					scholarly_journal_technical		AcAramADavIya	
AcArapradIpa		compositional	compound					scholarly_journal_technical		AcArapradIpa	
AcAryacUqAmaRi		propername	compound|propername					ms_catalogue_propernoun		AcAryacUqAmaRi	
AcAryakArikA		propername	compound|propername					scholarly_journal_technical		AcAryakArikA	
AcCAka	1	spelling-variant	spelling-variant	AcCAkaH	ap|ap90			kosa_nighantu_not_digitised		AcCAka	
Acidoha		spelling-variant	propername|spelling-variant	Aciddoha	pw			scholarly_journal_technical		Acidoha	
AdArasft		spelling-variant	compound|propername|spelling-variant	adArasft	mw|pw			scholarly_journal_technical		AdArasft	
AdIDaka	1	misreading	misreading					scholarly_journal_technical		AdIDaka	
AdamaKAna		propername	propername					ms_catalogue_propernoun		AdamaKAna	Chans
Adezwar		kosa-corpus-gap						kosa_nighantu_not_digitised		Adezwar	der Anweisungen, Befehle ertheilt ‖ Veranstalter eines Opfers ‖ Einer, der Etwas lehrt, Lehrer
AdimalabAra	1	propername	compound|propername				Adi+malabAra	ms_catalogue_propernoun		AdimalabAra	
Adisfzwi		compositional	compound					ms_catalogue_propernoun		Adisfzwi	das Schaffen —, Vollbringen im ersten Beginn, der blosse Gedanke an die That
AdityanaktaviDivrata		propername	propername					ms_catalogue_propernoun		AdityanaktaviDivrata	Begehung
AdityapratApasidDAnta		propername	propername					ms_catalogue_propernoun		AdityapratApasidDAnta	
AdityeSvaratIrTa		propername	propername					ms_catalogue_propernoun		AdityeSvaratIrTa	
AdivAtulatantra		propername	propername					ms_catalogue_propernoun		AdivAtulatantra	
AgamasAra		propername	compound|propername					ms_catalogue_propernoun		AgamasAra	
AgrAvasavIya		residue						scholarly_journal_technical		AgrAvasavIya	
AhAray		corpus-attested	corpus-attested|derivative					scholarly_journal_technical	3	AhAray	seine Mahlzeit einnehmen
AhInika		compositional	derivative					ms_catalogue_propernoun		AhInika	
AhitTa		spelling-variant	derivative|spelling-variant	Ahita	ap|ap90|mw|pw			kosa_nighantu_not_digitised		AhitTa	
AjIja	1	propername	propername					ms_catalogue_propernoun		AjIja	
AjUma	1	propername	propername					ms_catalogue_propernoun		AjUma	
AjyaBAsa	1	compositional	compound				Ajya+BAsa	kosa_nighantu_not_digitised		AjyaBAsa	
AkASavAdArTa		propername	propername					scholarly_journal_technical		AkASavAdArTa	
AkaraRa		spelling-variant	spelling-variant	akaraRa	ap|mw|pw			kosa_nighantu_not_digitised		AkaraRa	das Herausfordern
AkulAgamatantra		propername	compound|propername					scholarly_journal_technical		AkulAgamatantra	
Akulay		corpus-attested	corpus-attested					scholarly_journal_technical	2	Akulay	in Verwirrung ‖ Unordnung bringen ‖ in Verwirrung ‖ Unordnung gebracht, verwirrt ‖ getrübt
AlamandArastotra		propername	compound|propername					ms_catalogue_propernoun		AlamandArastotra	
Alenarusa	1	propername	propername					ms_catalogue_propernoun		Alenarusa	
Alindaka		spelling-variant	spelling-variant	alindaka	mw|pw			kosa_nighantu_not_digitised		Alindaka	
Aloha	1	spelling-variant	derivative|propername|spelling-variant	aloha	mw|pw			ms_catalogue_propernoun		Aloha	
AlokamaTurAnATI		propername	propername					scholarly_journal_technical		AlokamaTurAnATI	
Alokavant		compositional	derivative					scholarly_journal_technical		Alokavant	Licht besitzend, leuchtend
AlolacaturTI		compositional	compound					ms_catalogue_propernoun		AlolacaturTI	ein <ab>best.</ab> Spiel, Schaukelvergnügen am 4ten Tage der lichten Hälfte des
AmIla		spelling-variant	spelling-variant	AnIla	ap|ap90|mw|pw			kosa_nighantu_not_digitised		AmIla	ein <ab>best.</ab> wollener Stoff
AmalISvaratIrTa		propername	propername					ms_catalogue_propernoun		AmalISvaratIrTa	
Amali	1	spelling-variant	propername|spelling-variant	anali	mw|pw			ms_catalogue_propernoun		Amali	
Amera	1	propername	propername					ms_catalogue_propernoun		Amera	
AmodAyana		propername	derivative|propername					ms_catalogue_propernoun		AmodAyana	
AnAka		spelling-variant	propername|spelling-variant	Anaka	mw|pw			ms_catalogue_propernoun		AnAka	
AnandaboDaparamahaMsa		xref-attested	xref-attested			AnandaboDayati		scholarly_journal_technical		AnandaboDaparamahaMsa	
AnandacaturdaSI		compositional	compound					ms_catalogue_propernoun		AnandacaturdaSI	eines <ab>best.</ab> 14ten Tages
AnandarAma	1	propername	compound|propername					ms_catalogue_propernoun		AnandarAma	
Anayuga		kosa-corpus-gap						kosa_nighantu_not_digitised		Anayuga	
Andolay		corpus-attested	corpus-attested|spelling-variant	andolay	pw	andolay		kosa_nighantu_not_digitised	2	Andolay	hinundherbewegt, gewiegt, geschaukelt
AniDanaM	1	spelling-variant	propername|spelling-variant	AniDana	mw|pw			scholarly_journal_technical		AniDanaM	
AntaHpuritaka		residue						scholarly_journal_technical		AntaHpuritaka(!)	
ApAjiBawwa	1	misreading	misreading|propername					ms_catalogue_propernoun		ApAjiBawwa	
ApatAlikA	1	spelling-variant	compound|derivative|propername|spelling-variant	ApAtAlikA	pw		Apa+tAlikA	scholarly_journal_technical		ApatAlikA	
ApiSAyana	1	compositional	compound|derivative				ApiS+Ayana	ms_catalogue_propernoun		ApiSAyana	
Aqambaravant		compositional	derivative					scholarly_journal_technical		Aqambaravant	viel Lärm machend
ArAmAdipratizWApadDati		propername	propername					scholarly_journal_technical		ArAmAdipratizWApadDati	
ArIhaRya	1	misreading	misreading					scholarly_journal_technical		ArIhaRya	
ArUQavant		propername	propername					scholarly_journal_technical		ArUQavant	
AraRAcCalA		propername	propername					ms_catalogue_propernoun		AraRAcCalA	
AradeSa		propername	propername					ms_catalogue_propernoun		AradeSa	Oertlichkeit
ArdrAnandakarItftIyA		catalogue-propername						ms_catalogue_propernoun		ArdrAnandakarItftIyA	eines <ab>best.</ab> 3ten Tages
ArgbaDa	1	spelling-variant	spelling-variant|xref-attested	ArgvaDa	ap|ap90|mw|pw	AragbaDa		kosa_nighantu_not_digitised		ArgbaDa	
ArtaboDa		compositional	derivative					ms_catalogue_propernoun		ArtaboDa	
AruRika	1	compositional	derivative					ms_catalogue_propernoun		AruRika	
Aryahala	1	compositional	compound				Arya+hala	ms_catalogue_propernoun		Aryahala	
Arzika		residue						scholarly_journal_technical		Arzika	ein Fürst der
